,Country Name,Indicator Name,Year,Value
0,Arab World,"Agriculture, value added (% of GDP)",1952,
1,Arab World,CO2 emissions (metric tons per capita),1952,
2,Arab World,Domestic credit provided by financial sector (% of GDP),1952,
3,Arab World,Electric power consumption (kWh per capita),1952,
4,Arab World,Energy use (kg of oil equivalent per capita),1952,
5,Arab World,Exports of goods and services (% of GDP),1952,
6,Arab World,"Fertility rate, total (births per woman)",1952,
7,Arab World,GDP growth (annual %),1952,
8,Arab World,"GNI per capita, PPP (current international $)",1952,
9,Arab World,"Gross enrollment ratio, primary, both sexes (%)",1952,
10,Arab World,"Gross enrolment ratio, secondary, both sexes (%)",1952,
11,Arab World,High-technology exports (% of manufactured exports),1952,
12,Arab World,Imports of goods and services (% of GDP),1952,
13,Arab World,Income share held by lowest 20%,1952,
14,Arab World,"Industry, value added (% of GDP)",1952,
15,Arab World,"Inflation, GDP deflator (annual %)",1952,
16,Arab World,Internet users (per 100 people),1952,
17,Arab World,"Life expectancy at birth, total (years)",1952,
18,Arab World,Military expenditure (% of GDP),1952,
19,Arab World,Mobile cellular subscriptions (per 100 people),1952,
20,Arab World,Net lending (+) / net borrowing (-) (% of GDP),1952,
21,Arab World,Population density (people per sq. km of land area),1952,
22,Arab World,"Prevalence of HIV, total (% of population ages 15-49)",1952,
23,Arab World,"Revenue, excluding grants (% of GDP)",1952,
24,Arab World,"Services, etc., value added (% of GDP)",1952,
25,Arab World,Tax revenue (% of GDP),1952,
26,Arab World,Time required to start a business (days),1952,
27,Caribbean small states,"Agriculture, value added (% of GDP)",1952,
28,Caribbean small states,CO2 emissions (metric tons per capita),1952,
29,Caribbean small states,Domestic credit provided by financial sector (% of GDP),1952,
30,Caribbean small states,Electric power consumption (kWh per capita),1952,
31,Caribbean small states,Energy use (kg of oil equivalent per capita),1952,
32,Caribbean small states,Exports of goods and services (% of GDP),1952,
33,Caribbean small states,"Fertility rate, total (births per woman)",1952,
34,Caribbean small states,GDP growth (annual %),1952,
35,Caribbean small states,"GNI per capita, PPP (current international $)",1952,
36,Caribbean small states,"Gross enrollment ratio, primary, both sexes (%)",1952,
37,Caribbean small states,"Gross enrolment ratio, secondary, both sexes (%)",1952,
38,Caribbean small states,High-technology exports (% of manufactured exports),1952,
39,Caribbean small states,Imports of goods and services (% of GDP),1952,
40,Caribbean small states,Income share held by lowest 20%,1952,
41,Caribbean small states,"Industry, value added (% of GDP)",1952,
42,Caribbean small states,"Inflation, GDP deflator (annual %)",1952,
43,Caribbean small states,Internet users (per 100 people),1952,
44,Caribbean small states,"Life expectancy at birth, total (years)",1952,
45,Caribbean small states,Military expenditure (% of GDP),1952,
46,Caribbean small states,Mobile cellular subscriptions (per 100 people),1952,
47,Caribbean small states,Net lending (+) / net borrowing (-) (% of GDP),1952,
48,Caribbean small states,Population density (people per sq. km of land area),1952,
49,Caribbean small states,"Prevalence of HIV, total (% of population ages 15-49)",1952,
50,Caribbean small states,"Revenue, excluding grants (% of GDP)",1952,
51,Caribbean small states,"Services, etc., value added (% of GDP)",1952,
52,Caribbean small states,Tax revenue (% of GDP),1952,
53,Caribbean small states,Time required to start a business (days),1952,
54,Central Europe and the Baltics,"Agriculture, value added (% of GDP)",1952,
55,Central Europe and the Baltics,CO2 emissions (metric tons per capita),1952,
56,Central Europe and the Baltics,Domestic credit provided by financial sector (% of GDP),1952,
57,Central Europe and the Baltics,Electric power consumption (kWh per capita),1952,
58,Central Europe and the Baltics,Energy use (kg of oil equivalent per capita),1952,
59,Central Europe and the Baltics,Exports of goods and services (% of GDP),1952,
60,Central Europe and the Baltics,"Fertility rate, total (births per woman)",1952,
